epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.06062997132539749,0.20549750328063965,0.05559537932276726,0.19957058131694794
1,0.0010000000474974513,0.05875792354345322,0.2004249542951584,0.05343819782137871,0.19243423640727997
2,0.0010000000474974513,0.058797139674425125,0.19901186227798462,0.053379643708467484,0.19350558519363403
3,0.0010000000474974513,0.058428555727005005,0.19937820732593536,0.05360107496380806,0.19416895508766174
4,0.0010000000474974513,0.05844578891992569,0.1994791179895401,0.053464747965335846,0.19383278489112854
5,0.0010000000474974513,0.058349609375,0.19905675947666168,0.0533645860850811,0.19351240992546082
6,0.0010000000474974513,0.05841682106256485,0.19934536516666412,0.05369783565402031,0.19463980197906494
7,0.00020000000949949026,0.058295197784900665,0.19934430718421936,0.05366401746869087,0.19453184306621552
8,0.00020000000949949026,0.05828094482421875,0.19920797646045685,0.05349443480372429,0.19394798576831818
9,0.00020000000949949026,0.05824972316622734,0.19896051287651062,0.053428806364536285,0.1937190592288971
10,0.00020000000949949026,0.058220379054546356,0.19882218539714813,0.05336778610944748,0.19350489974021912
11,0.00020000000949949026,0.05821513012051582,0.19874168932437897,0.053326867520809174,0.19335989654064178
12,0.00020000000949949026,0.05823667719960213,0.1986820250749588,0.05326050519943237,0.19311004877090454
13,0.00020000000949949026,0.05820552632212639,0.19864387810230255,0.053295981138944626,0.19326141476631165
14,0.00020000000949949026,0.05820590257644653,0.19864137470722198,0.053279340267181396,0.19320480525493622
15,0.00020000000949949026,0.05817403644323349,0.19867148995399475,0.05334419757127762,0.19345876574516296
16,0.00020000000949949026,0.05816696211695671,0.19874760508537292,0.053356535732746124,0.19351275265216827
17,4.0000002627493814e-05,0.058157216757535934,0.19873806834220886,0.05337456986308098,0.1935809701681137
18,4.0000002627493814e-05,0.058151789009571075,0.198738694190979,0.05336650460958481,0.19355101883411407
19,4.0000002627493814e-05,0.05814743787050247,0.1987253725528717,0.0533580556511879,0.1935204267501831
20,4.0000002627493814e-05,0.058148354291915894,0.1987111121416092,0.05334475636482239,0.19347064197063446
21,4.0000002627493814e-05,0.05814255028963089,0.1986866295337677,0.05333869531750679,0.19344794750213623
22,8.000000889296643e-06,0.05813967064023018,0.19868147373199463,0.053340114653110504,0.19345319271087646
23,8.000000889296643e-06,0.05813910439610481,0.19868065416812897,0.05333832651376724,0.19344648718833923
24,8.000000889296643e-06,0.058138441294431686,0.19867977499961853,0.05334034562110901,0.1934540867805481
